Timestamp,ID,trial,InvestmentAgainstMitigation,Health,Life,Property,CummulativeInvestment,WeightInvest,TimeSpan,IncomeAvailable,Ratio H,Ratio L,Ratio P ,Ratio Total investment,Ratio Mitigation,Total Ratio
6/10/2020 10:59,5ee0baf4effd82.13884054,0,0,0,0,0,0,0.7,36,8760,0,0,0,#REF!,0,0
6/10/2020 11:00,5ee0baf4effd82.13884054,1,0.5,0,0,0,0.5,0.7,36,8760,0,0,0,#REF!,5.71E-05,5.71E-05
6/10/2020 11:01,5ee0baf4effd82.13884054,2,0.5,0,0,0,1,0.7,36,5748.75,0,0,0,#REF!,8.70E-05,8.70E-05
6/10/2020 11:01,5ee0baf4effd82.13884054,3,0,0,488,0,1,0.7,36,5030.16,0,1,0,#REF!,0,0.097014807
6/10/2020 11:03,5ee0baf4effd82.13884054,4,0.4,0,0,0,1.4,0.7,36,4401.39,0,0,0,#REF!,9.09E-05,9.09E-05
6/10/2020 11:03,5ee0baf4effd82.13884054,5,0,0,488,0,1.4,0.7,36,4401.39,0,1,0,#REF!,0,0.110874065
6/10/2020 11:03,5ee0baf4effd82.13884054,6,0,1173,0,0,1.4,0.7,36,3851.21,1,0,0,#REF!,0,0.3045796
6/10/2020 11:03,5ee0baf4effd82.13884054,7,0.4,0,0,0,1.8,0.7,36,3851.21,0,0,0,#REF!,0.000103863,0.000103863
6/10/2020 11:04,5ee0baf4effd82.13884054,8,0,0,0,0,1.8,0.7,36,2888.41,0,0,0,#REF!,0,0
6/10/2020 11:04,5ee0baf4effd82.13884054,9,0,0,488,0,1.8,0.7,36,1895.52,0,1,0,#REF!,0,0.257449143
6/10/2020 11:05,5ee0baf4effd82.13884054,10,0,0,0,0,1.8,0.7,36,1895.52,0,0,0,#REF!,0,0
6/10/2020 11:05,5ee0baf4effd82.13884054,11,0,0,488,0,1.8,0.7,36,1895.52,0,1,0,#REF!,0,0.257449143
6/10/2020 11:05,5ee0baf4effd82.13884054,12,0,0,488,0,1.8,0.7,36,1895.52,0,1,0,#REF!,0,0.257449143
6/10/2020 11:05,5ee0baf4effd82.13884054,13,0,0,0,0,1.8,0.7,36,1895.52,0,0,0,#REF!,0,0
6/10/2020 11:06,5ee0baf4effd82.13884054,14,0,0,488,0,1.8,0.7,36,1895.52,0,1,0,#REF!,0,0.257449143
6/10/2020 11:06,5ee0baf4effd82.13884054,15,0,1173,0,0,1.8,0.7,36,1895.52,1,0,0,#REF!,0,0.618827551
6/10/2020 11:06,5ee0baf4effd82.13884054,16,0,0,0,0,1.8,0.7,36,1895.52,0,0,0,#REF!,0,0
6/10/2020 11:06,5ee0baf4effd82.13884054,17,0.1,0,0,0,1.9,0.7,36,1243.93,0,0,0,#REF!,8.04E-05,8.04E-05
6/10/2020 11:06,5ee0baf4effd82.13884054,18,0,0,488,0,1.9,0.7,36,1243.93,0,1,0,#REF!,0,0.392305033
6/10/2020 11:07,5ee0baf4effd82.13884054,19,0.2,0,0,0,2.1,0.7,36,1088.44,0,0,0,#REF!,0.000183749,0.000183749
6/10/2020 11:08,5ee0baf4effd82.13884054,20,0.4,0,488,0,2.5,0.7,36,1088.44,0,1,0,#REF!,0.000666178,0.448715593
6/10/2020 11:11,5ee0baf4effd82.13884054,21,0,0,0,0,2.5,0.7,36,952.387,0,0,0,#REF!,0,0
6/10/2020 11:11,5ee0baf4effd82.13884054,22,0,0,0,0,2.5,0.7,36,952.387,0,0,0,#REF!,0,0
6/10/2020 11:11,5ee0baf4effd82.13884054,23,0,0,0,0,2.5,0.7,36,833.339,0,0,0,#REF!,0,0
6/10/2020 11:11,5ee0baf4effd82.13884054,24,0,0,0,0,2.5,0.7,36,833.339,0,0,0,#REF!,0,0
6/10/2020 11:11,5ee0baf4effd82.13884054,25,0,0,0,0,2.5,0.7,36,833.339,0,0,0,#REF!,0,0
6/10/2020 11:12,5ee0baf4effd82.13884054,26,0,0,0,0,2.5,0.7,36,729.172,0,0,0,#REF!,0,0
6/10/2020 11:12,5ee0baf4effd82.13884054,27,0,0,0,0,2.5,0.7,36,729.172,0,0,0,#REF!,0,0
6/10/2020 11:12,5ee0baf4effd82.13884054,28,0,0,0,0,2.5,0.7,36,729.172,0,0,0,#REF!,0,0
6/10/2020 11:12,5ee0baf4effd82.13884054,29,0,0,0,0,2.5,0.7,36,729.172,0,0,0,#REF!,0,0
6/10/2020 11:12,5ee0baf4effd82.13884054,30,0,0,0,0,2.5,0.7,36,729.172,0,0,0,#REF!,0,0
6/10/2020 11:12,5ee0baf4effd82.13884054,31,0,0,0,0,2.5,0.7,36,729.172,0,0,0,#REF!,0,0
6/10/2020 11:13,5ee0baf4effd82.13884054,32,0.1,0,0,0,2.6,0.7,36,638.025,0,0,0,#REF!,0.000156734,0.000156734
6/10/2020 11:13,5ee0baf4effd82.13884054,33,0.1,0,0,0,2.7,0.7,36,558.272,0,0,0,#REF!,0.000179124,0.000179124
6/10/2020 11:13,5ee0baf4effd82.13884054,34,0.1,0,0,0,2.8,0.7,36,488.488,0,0,0,#REF!,0.000204713,0.000204713
6/10/2020 11:13,5ee0baf4effd82.13884054,35,0.1,0,0,0,2.9,0.7,36,488.488,0,0,0,#REF!,0.000204713,0.000204713
6/10/2020 11:14,5ee0baf4effd82.13884054,36,0.1,0,0,0,3,0.7,36,427.427,0,0,0,#REF!,0.000233958,0.000233958
6/10/2020 11:18,5ee0bb0a3a6504.58566888,0,0,0,0,0,0,0.7,36,8760,0,0,0,#REF!,0,0
6/10/2020 11:18,5ee0bb0a3a6504.58566888,1,0,1173,0,0,0,0.7,36,8760,1,0,0,#REF!,0,0.13390411
6/10/2020 11:19,5ee0bb0a3a6504.58566888,2,520,0,0,0,520,0.7,36,8760,0,0,0,#REF!,0.059360731,0.059360731
6/10/2020 11:19,5ee0bb0a3a6504.58566888,3,0,0,488,0,520,0.7,36,7665,0,1,0,#REF!,0,0.063666014
6/10/2020 11:20,5ee0bb0a3a6504.58566888,4,600,0,0,0,1120,0.7,36,6706.88,0,0,0,#REF!,0.089460375,0.089460375
6/10/2020 11:20,5ee0bb0a3a6504.58566888,5,0,1173,0,0,1120,0.7,36,6706.88,1,0,0,#REF!,0,0.174895033
6/10/2020 11:20,5ee0bb0a3a6504.58566888,6,0,0,488,0,1120,0.7,36,6706.88,0,1,0,#REF!,0,0.072761105
6/10/2020 11:20,5ee0bb0a3a6504.58566888,7,800,0,0,0,1920,0.7,36,6706.88,0,0,0,#REF!,0.1192805,0.1192805
6/10/2020 11:21,5ee0bb0a3a6504.58566888,8,0,1173,0,0,1920,0.7,36,6706.88,1,0,0,#REF!,0,0.174895033
6/10/2020 11:21,5ee0bb0a3a6504.58566888,9,5000,0,0,0,6920,0.7,36,6706.88,0,0,0,#REF!,0.745503125,0.745503125
6/10/2020 11:21,5ee0bb0a3a6504.58566888,10,200,0,0,0,7120,0.7,36,6706.88,0,0,0,#REF!,0.029820125,0.029820125
6/10/2020 11:21,5ee0bb0a3a6504.58566888,11,0,0,0,1884,7120,0.7,36,6706.88,0,0,1,#REF!,0,0.280905578
6/10/2020 11:22,5ee0bb0a3a6504.58566888,12,0,1173,0,0,7120,0.7,36,6706.88,1,0,0,#REF!,0,0.174895033
6/10/2020 11:22,5ee0bb0a3a6504.58566888,13,300,0,0,0,7420,0.7,36,5030.16,0,0,0,#REF!,0.05964025,0.05964025
6/10/2020 11:22,5ee0bb0a3a6504.58566888,14,0,0,488,0,7420,0.7,36,5030.16,0,1,0,#REF!,0,0.097014807
6/10/2020 11:22,5ee0bb0a3a6504.58566888,15,3000,0,0,0,10420,0.7,36,4401.39,0,0,0,#REF!,0.681602857,0.681602857
6/10/2020 11:23,5ee0bb0a3a6504.58566888,16,0,0,488,0,10420,0.7,36,4401.39,0,1,0,#REF!,0,0.110874065
6/10/2020 11:23,5ee0bb0a3a6504.58566888,17,2000,0,0,0,12420,0.7,36,3851.21,0,0,0,#REF!,0.519317305,0.519317305
6/10/2020 11:23,5ee0bb0a3a6504.58566888,18,0,0,488,0,12420,0.7,36,3851.21,0,1,0,#REF!,0,0.126713423
6/10/2020 11:23,5ee0bb0a3a6504.58566888,19,3000,0,0,0,15420,0.7,36,3851.21,0,0,0,#REF!,0.778975958,0.778975958
6/10/2020 11:23,5ee0bb0a3a6504.58566888,20,0,1173,0,0,15420,0.7,36,3851.21,1,0,0,#REF!,0,0.3045796
6/10/2020 11:23,5ee0bb0a3a6504.58566888,21,0,0,0,1884,15420,0.7,36,3851.21,0,0,1,#REF!,0,0.489196902
6/10/2020 11:24,5ee0bb0a3a6504.58566888,22,0,0,488,0,15420,0.7,36,3851.21,0,1,0,#REF!,0,0.126713423
6/10/2020 11:24,5ee0bb0a3a6504.58566888,23,2000,0,0,0,17420,0.7,36,3851.21,0,0,0,#REF!,0.519317305,0.519317305
6/10/2020 11:24,5ee0bb0a3a6504.58566888,24,0,0,488,0,17420,0.7,36,2888.41,0,1,0,#REF!,0,0.168951084
6/10/2020 11:24,5ee0bb0a3a6504.58566888,25,0,0,488,0,17420,0.7,36,2888.41,0,1,0,#REF!,0,0.168951084
6/10/2020 11:25,5ee0bb0a3a6504.58566888,26,2500,0,0,0,19920,0.7,36,2888.41,0,0,0,#REF!,0.865528093,0.865528093
6/10/2020 11:25,5ee0bb0a3a6504.58566888,27,0,0,488,0,19920,0.7,36,2888.41,0,1,0,#REF!,0,0.168951084
6/10/2020 11:25,5ee0bb0a3a6504.58566888,28,2000,0,0,0,21920,0.7,36,2527.36,0,0,0,#REF!,0.79133958,0.79133958
6/10/2020 11:25,5ee0bb0a3a6504.58566888,29,1000,0,0,0,22920,0.7,36,2527.36,0,0,0,#REF!,0.39566979,0.39566979
6/10/2020 11:25,5ee0bb0a3a6504.58566888,30,2000,0,0,0,24920,0.7,36,2211.44,0,0,0,#REF!,0.904388091,0.904388091
6/10/2020 11:25,5ee0bb0a3a6504.58566888,31,1500,0,0,0,26420,0.7,36,2211.44,0,0,0,#REF!,0.678291068,0.678291068
6/10/2020 11:25,5ee0bb0a3a6504.58566888,32,1500,0,0,0,27920,0.7,36,2211.44,0,0,0,#REF!,0.678291068,0.678291068
6/10/2020 11:26,5ee0bb0a3a6504.58566888,33,0,0,0,0,27920,0.7,36,1935.01,0,0,0,#REF!,0,0
6/10/2020 11:26,5ee0bb0a3a6504.58566888,34,1000,0,0,0,28920,0.7,36,1693.13,0,0,0,#REF!,0.590622102,0.590622102
6/10/2020 11:26,5ee0bb0a3a6504.58566888,35,1200,0,0,0,30120,0.7,36,1481.49,0,0,0,#REF!,0.809995343,0.809995343
6/10/2020 11:26,5ee0bb0a3a6504.58566888,36,500,0,0,0,30620,0.7,36,1296.3,0,0,0,#REF!,0.385713184,0.385713184
6/10/2020 10:55,5ee0bb5c27fbe4.09918165,0,0,0,0,0,0,0.7,36,8760,0,0,0,#REF!,0,0
6/10/2020 10:59,5ee0bb5c27fbe4.09918165,1,0,0,488,0,0,0.7,36,8760,0,1,0,#REF!,0,0.055707763
6/10/2020 10:59,5ee0bb5c27fbe4.09918165,2,300,0,0,0,300,0.7,36,8760,0,0,0,#REF!,0.034246575,0.034246575
6/10/2020 10:59,5ee0bb5c27fbe4.09918165,3,300,0,0,0,600,0.7,36,8760,0,0,0,#REF!,0.034246575,0.034246575
6/10/2020 10:59,5ee0bb5c27fbe4.09918165,4,300,0,0,0,900,0.7,36,7665,0,0,0,#REF!,0.039138943,0.039138943
6/10/2020 10:59,5ee0bb5c27fbe4.09918165,5,300,0,0,0,1200,0.7,36,7665,0,0,0,#REF!,0.039138943,0.039138943
6/10/2020 10:59,5ee0bb5c27fbe4.09918165,6,200,0,0,0,1400,0.7,36,7665,0,0,0,#REF!,0.026092629,0.026092629
6/10/2020 11:00,5ee0bb5c27fbe4.09918165,7,200,0,0,0,1600,0.7,36,7665,0,0,0,#REF!,0.026092629,0.026092629
6/10/2020 11:00,5ee0bb5c27fbe4.09918165,8,200,0,0,0,1800,0.7,36,6706.88,0,0,0,#REF!,0.029820125,0.029820125
6/10/2020 11:00,5ee0bb5c27fbe4.09918165,9,200,0,0,0,2000,0.7,36,6706.88,0,0,0,#REF!,0.029820125,0.029820125
6/10/2020 11:00,5ee0bb5c27fbe4.09918165,10,200,0,0,0,2200,0.7,36,6706.88,0,0,0,#REF!,0.029820125,0.029820125
6/10/2020 11:00,5ee0bb5c27fbe4.09918165,11,200,0,0,0,2400,0.7,36,5868.52,0,0,0,#REF!,0.034080143,0.034080143
6/10/2020 11:00,5ee0bb5c27fbe4.09918165,12,200,0,0,0,2600,0.7,36,5134.95,0,0,0,#REF!,0.038948773,0.038948773
6/10/2020 11:01,5ee0bb5c27fbe4.09918165,13,200,0,0,0,2800,0.7,36,5134.95,0,0,0,#REF!,0.038948773,0.038948773
6/10/2020 11:01,5ee0bb5c27fbe4.09918165,14,150,0,0,0,2950,0.7,36,4493.08,0,0,0,#REF!,0.033384672,0.033384672
6/10/2020 11:01,5ee0bb5c27fbe4.09918165,15,150,0,0,0,3100,0.7,36,3931.45,0,0,0,#REF!,0.038153862,0.038153862
6/10/2020 11:01,5ee0bb5c27fbe4.09918165,16,150,0,488,0,3250,0.7,36,3931.45,0,1,0,#REF!,0.043560964,0.162281092
6/10/2020 11:01,5ee0bb5c27fbe4.09918165,17,150,0,488,0,3400,0.7,36,3931.45,0,1,0,#REF!,0.043560964,0.162281092
6/10/2020 11:01,5ee0bb5c27fbe4.09918165,18,150,0,488,0,3550,0.7,36,3440.02,0,1,0,#REF!,0.050812664,0.185464038
6/10/2020 11:02,5ee0bb5c27fbe4.09918165,19,200,0,488,0,3750,0.7,36,3440.02,0,1,0,#REF!,0.067750218,0.199998837
6/10/2020 11:02,5ee0bb5c27fbe4.09918165,20,150,0,488,1884,3900,0.7,36,3010.01,0,1,1,#REF!,0.235106033,0.837870971
6/10/2020 11:02,5ee0bb5c27fbe4.09918165,21,150,0,0,1884,4050,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:02,5ee0bb5c27fbe4.09918165,22,150,0,488,1884,4200,0.7,36,3010.01,0,1,1,#REF!,0.235106033,0.837870971
6/10/2020 11:03,5ee0bb5c27fbe4.09918165,23,150,0,0,1884,4350,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:03,5ee0bb5c27fbe4.09918165,24,150,0,0,1884,4500,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:03,5ee0bb5c27fbe4.09918165,25,150,0,0,1884,4650,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:03,5ee0bb5c27fbe4.09918165,26,150,0,0,1884,4800,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:03,5ee0bb5c27fbe4.09918165,27,150,0,0,1884,4950,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:03,5ee0bb5c27fbe4.09918165,28,150,0,0,1884,5100,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:04,5ee0bb5c27fbe4.09918165,29,150,0,0,1884,5250,0.7,36,3010.01,0,0,1,#REF!,0.133213737,0.675745263
6/10/2020 11:04,5ee0bb5c27fbe4.09918165,30,150,0,0,1884,5400,0.7,36,2633.76,0,0,1,#REF!,0.20006402,0.772279934
6/10/2020 11:04,5ee0bb5c27fbe4.09918165,31,150,0,0,1884,5550,0.7,36,2633.76,0,0,1,#REF!,0.20006402,0.772279934
6/10/2020 11:04,5ee0bb5c27fbe4.09918165,32,100,0,0,1884,5650,0.7,36,2304.54,0,0,1,#REF!,0.237789509,0.860909335
6/10/2020 11:04,5ee0bb5c27fbe4.09918165,33,100,0,0,1884,5750,0.7,36,2016.47,0,0,1,#REF!,0.754887899,0.983897603
6/10/2020 11:04,5ee0bb5c27fbe4.09918165,34,100,0,0,1884,5850,0.7,36,2016.47,0,0,1,#REF!,0.754887899,0.983897603
6/10/2020 11:05,5ee0bb5c27fbe4.09918165,35,100,0,0,1884,5950,0.7,36,2016.47,0,0,1,#REF!,0.754887899,0.983897603
6/10/2020 11:05,5ee0bb5c27fbe4.09918165,36,100,0,0,1884,6050,0.7,36,2016.47,0,0,1,#REF!,0.754887899,0.983897603
6/10/2020 10:56,5ee0bb62a0c803.07032444,0,0,0,0,0,0,0.7,36,8760,0,0,0,#REF!,0,0
6/10/2020 10:59,5ee0bb62a0c803.07032444,1,0,0,488,0,0,0.7,36,8760,0,1,0,#REF!,0,0.055707763
6/10/2020 11:00,5ee0bb62a0c803.07032444,2,5000,0,0,0,5000,0.7,36,8760,0,0,0,#REF!,0.570776256,0.570776256
6/10/2020 11:00,5ee0bb62a0c803.07032444,3,7000,0,0,0,12000,0.7,36,8760,0,0,0,#REF!,0.799086758,0.799086758
6/10/2020 11:01,5ee0bb62a0c803.07032444,4,5000,0,0,0,17000,0.7,36,8760,0,0,0,#REF!,0.570776256,0.570776256
6/10/2020 11:01,5ee0bb62a0c803.07032444,5,3000,0,0,0,20000,0.7,36,8760,0,0,0,#REF!,0.342465753,0.342465753
6/10/2020 11:02,5ee0bb62a0c803.07032444,6,4000,0,0,0,24000,0.7,36,8760,0,0,0,#REF!,0.456621005,0.456621005
6/10/2020 11:02,5ee0bb62a0c803.07032444,7,4000,0,0,0,28000,0.7,36,8760,0,0,0,#REF!,0.456621005,0.456621005
6/10/2020 11:03,5ee0bb62a0c803.07032444,8,5000,0,0,0,33000,0.7,36,7665,0,0,0,#REF!,0.652315721,0.652315721
6/10/2020 11:03,5ee0bb62a0c803.07032444,9,4000,0,0,0,37000,0.7,36,7665,0,0,0,#REF!,0.521852577,0.521852577
6/10/2020 11:03,5ee0bb62a0c803.07032444,10,3000,0,0,0,40000,0.7,36,7665,0,0,0,#REF!,0.391389432,0.391389432
6/10/2020 11:04,5ee0bb62a0c803.07032444,11,3000,0,0,0,43000,0.7,36,7665,0,0,0,#REF!,0.391389432,0.391389432
6/10/2020 11:04,5ee0bb62a0c803.07032444,12,1000,0,0,0,44000,0.7,36,7665,0,0,0,#REF!,0.130463144,0.130463144
6/10/2020 11:05,5ee0bb62a0c803.07032444,13,1000,0,0,0,45000,0.7,36,7665,0,0,0,#REF!,0.130463144,0.130463144
6/10/2020 11:05,5ee0bb62a0c803.07032444,14,3000,0,0,0,48000,0.7,36,6706.88,0,0,0,#REF!,0.447301875,0.447301875
6/10/2020 11:06,5ee0bb62a0c803.07032444,15,3000,0,0,0,51000,0.7,36,6706.88,0,0,0,#REF!,0.447301875,0.447301875
6/10/2020 11:06,5ee0bb62a0c803.07032444,16,3000,0,0,0,54000,0.7,36,6706.88,0,0,0,#REF!,0.447301875,0.447301875
6/10/2020 11:06,5ee0bb62a0c803.07032444,17,4000,0,0,0,58000,0.7,36,5868.52,0,0,0,#REF!,0.681602857,0.681602857
6/10/2020 11:06,5ee0bb62a0c803.07032444,18,2000,0,0,0,60000,0.7,36,5868.52,0,0,0,#REF!,0.340801429,0.340801429
6/10/2020 11:07,5ee0bb62a0c803.07032444,19,2000,0,0,0,62000,0.7,36,5134.95,0,0,0,#REF!,0.389487726,0.389487726
6/10/2020 11:07,5ee0bb62a0c803.07032444,20,3000,0,0,0,65000,0.7,36,5134.95,0,0,0,#REF!,0.584231589,0.584231589
6/10/2020 11:09,5ee0bb62a0c803.07032444,21,3000,0,0,0,68000,0.7,36,5134.95,0,0,0,#REF!,0.584231589,0.584231589
6/10/2020 11:09,5ee0bb62a0c803.07032444,22,1000,0,0,0,69000,0.7,36,5134.95,0,0,0,#REF!,0.194743863,0.194743863
6/10/2020 11:09,5ee0bb62a0c803.07032444,23,2500,0,0,0,71500,0.7,36,5134.95,0,0,0,#REF!,0.486859658,0.486859658
6/10/2020 11:09,5ee0bb62a0c803.07032444,24,3000,0,0,0,74500,0.7,36,4493.08,0,0,0,#REF!,0.667693431,0.667693431
6/10/2020 11:10,5ee0bb62a0c803.07032444,25,3000,0,0,0,77500,0.7,36,4493.08,0,0,0,#REF!,0.667693431,0.667693431
6/10/2020 11:10,5ee0bb62a0c803.07032444,26,2000,0,0,0,79500,0.7,36,3931.45,0,0,0,#REF!,0.508718157,0.508718157
6/10/2020 11:12,5ee0bb62a0c803.07032444,27,1000,0,0,0,80500,0.7,36,3931.45,0,0,0,#REF!,0.254359079,0.254359079
6/10/2020 11:12,5ee0bb62a0c803.07032444,28,1000,0,0,0,81500,0.7,36,3931.45,0,0,0,#REF!,0.254359079,0.254359079
6/10/2020 11:12,5ee0bb62a0c803.07032444,29,1500,0,0,0,83000,0.7,36,3931.45,0,0,0,#REF!,0.381538618,0.381538618
6/10/2020 11:12,5ee0bb62a0c803.07032444,30,2000,0,0,0,85000,0.7,36,3931.45,0,0,0,#REF!,0.508718157,0.508718157
6/10/2020 11:12,5ee0bb62a0c803.07032444,31,1500,0,0,0,86500,0.7,36,3931.45,0,0,0,#REF!,0.381538618,0.381538618
6/10/2020 11:13,5ee0bb62a0c803.07032444,32,1500,0,0,0,88000,0.7,36,3931.45,0,0,0,#REF!,0.381538618,0.381538618
6/10/2020 11:13,5ee0bb62a0c803.07032444,33,2000,0,0,0,90000,0.7,36,3931.45,0,0,0,#REF!,0.508718157,0.508718157
6/10/2020 11:13,5ee0bb62a0c803.07032444,34,1000,0,0,0,91000,0.7,36,3931.45,0,0,0,#REF!,0.254359079,0.254359079
6/10/2020 11:13,5ee0bb62a0c803.07032444,35,1000,0,0,0,92000,0.7,36,3931.45,0,0,0,#REF!,0.254359079,0.254359079
6/10/2020 11:13,5ee0bb62a0c803.07032444,36,2000,0,0,0,94000,0.7,36,3931.45,0,0,0,#REF!,0.508718157,0.508718157
6/10/2020 11:00,5ee0bb6378b055.84933605,0,0,0,0,0,0,0.7,36,8760,0,0,0,#REF!,0,0
6/10/2020 11:01,5ee0bb6378b055.84933605,1,4000,0,0,0,4000,0.7,36,8760,0,0,0,#REF!,0.456621005,0.456621005
6/10/2020 11:02,5ee0bb6378b055.84933605,2,5000,0,0,0,9000,0.7,36,8760,0,0,0,#REF!,0.570776256,0.570776256
6/10/2020 11:02,5ee0bb6378b055.84933605,3,2500,0,0,0,11500,0.7,36,8760,0,0,0,#REF!,0.285388128,0.285388128
6/10/2020 11:02,5ee0bb6378b055.84933605,4,7500,0,0,0,19000,0.7,36,8760,0,0,0,#REF!,0.856164384,0.856164384
6/10/2020 11:02,5ee0bb6378b055.84933605,5,5000,0,0,0,24000,0.7,36,8760,0,0,0,#REF!,0.570776256,0.570776256
6/10/2020 11:02,5ee0bb6378b055.84933605,6,0,1173,0,0,24000,0.7,36,8760,1,0,0,#REF!,0,0.13390411
6/10/2020 11:03,5ee0bb6378b055.84933605,7,6000,0,0,1884,30000,0.7,36,8760,0,0,1,#REF!,0.872600349,0.9
6/10/2020 11:03,5ee0bb6378b055.84933605,8,1500,0,0,0,31500,0.7,36,6570,0,0,0,#REF!,0.228310502,0.228310502
6/10/2020 11:04,5ee0bb6378b055.84933605,9,1000,0,0,0,32500,0.7,36,6570,0,0,0,#REF!,0.152207002,0.152207002
6/10/2020 11:04,5ee0bb6378b055.84933605,10,0,0,0,1884,32500,0.7,36,6570,0,0,1,#REF!,0,0.286757991
6/10/2020 11:04,5ee0bb6378b055.84933605,11,0,0,488,0,32500,0.7,36,6570,0,1,0,#REF!,0,0.074277017
6/10/2020 11:04,5ee0bb6378b055.84933605,12,750,0,0,0,33250,0.7,36,6570,0,0,0,#REF!,0.114155251,0.114155251
6/10/2020 11:04,5ee0bb6378b055.84933605,13,0,1173,0,1884,33250,0.7,36,6570,1,0,1,#REF!,0,0.465296804
6/10/2020 11:04,5ee0bb6378b055.84933605,14,5000,0,0,0,38250,0.7,36,6570,0,0,0,#REF!,0.761035008,0.761035008
6/10/2020 11:05,5ee0bb6378b055.84933605,15,4500,1173,0,0,42750,0.7,36,6570,1,0,0,#REF!,0.833796554,0.86347032
6/10/2020 11:05,5ee0bb6378b055.84933605,16,4000,0,0,0,46750,0.7,36,6570,0,0,0,#REF!,0.608828006,0.608828006
6/10/2020 11:06,5ee0bb6378b055.84933605,17,2500,0,0,0,49250,0.7,36,5748.75,0,0,0,#REF!,0.434877147,0.434877147
6/10/2020 11:08,5ee0bb6378b055.84933605,18,1000,0,0,0,50250,0.7,36,5030.16,0,0,0,#REF!,0.198800833,0.198800833
6/10/2020 11:08,5ee0bb6378b055.84933605,19,2000,0,0,0,52250,0.7,36,5030.16,0,0,0,#REF!,0.397601667,0.397601667
6/10/2020 11:08,5ee0bb6378b055.84933605,20,2000,0,0,0,54250,0.7,36,4401.39,0,0,0,#REF!,0.454401905,0.454401905
6/10/2020 11:08,5ee0bb6378b055.84933605,21,3300,0,0,0,57550,0.7,36,4401.39,0,0,0,#REF!,0.749763143,0.749763143
6/10/2020 11:09,5ee0bb6378b055.84933605,22,1500,0,0,0,59050,0.7,36,4401.39,0,0,0,#REF!,0.340801429,0.340801429
6/10/2020 11:09,5ee0bb6378b055.84933605,23,0,1173,0,0,59050,0.7,36,4401.39,1,0,0,#REF!,0,0.266506717
6/10/2020 11:09,5ee0bb6378b055.84933605,24,0,0,0,1884,59050,0.7,36,4401.39,0,0,1,#REF!,0,0.428046594
6/10/2020 11:09,5ee0bb6378b055.84933605,25,0,0,488,0,59050,0.7,36,4401.39,0,1,0,#REF!,0,0.110874065
6/10/2020 11:09,5ee0bb6378b055.84933605,26,2000,0,0,0,61050,0.7,36,3851.21,0,0,0,#REF!,0.519317305,0.519317305
6/10/2020 11:09,5ee0bb6378b055.84933605,27,2000,0,0,0,63050,0.7,36,2527.36,0,0,0,#REF!,0.79133958,0.79133958
6/10/2020 11:09,5ee0bb6378b055.84933605,28,1000,0,0,0,64050,0.7,36,2527.36,0,0,0,#REF!,0.39566979,0.39566979
6/10/2020 11:09,5ee0bb6378b055.84933605,29,0,0,488,0,64050,0.7,36,2527.36,0,1,0,#REF!,0,0.193086857
6/10/2020 11:10,5ee0bb6378b055.84933605,30,1200,0,0,0,65250,0.7,36,2527.36,0,0,0,#REF!,0.474803748,0.474803748
6/10/2020 11:10,5ee0bb6378b055.84933605,31,1500,0,0,0,66750,0.7,36,2211.44,0,0,0,#REF!,0.678291068,0.678291068
6/10/2020 11:10,5ee0bb6378b055.84933605,32,0,0,0,1884,66750,0.7,36,2211.44,0,0,1,#REF!,0,0.851933582
6/10/2020 11:10,5ee0bb6378b055.84933605,33,2000,0,0,0,68750,0.7,36,2211.44,0,0,0,#REF!,0.904388091,0.904388091
6/10/2020 11:10,5ee0bb6378b055.84933605,34,1750,0,0,0,70500,0.7,36,2211.44,0,0,0,#REF!,0.79133958,0.79133958
6/10/2020 11:10,5ee0bb6378b055.84933605,35,1800,0,0,0,72300,0.7,36,1935.01,0,0,0,#REF!,0.930227751,0.930227751
6/10/2020 11:10,5ee0bb6378b055.84933605,36,1800,0,0,0,74100,0.7,36,1935.01,0,0,0,#REF!,0.930227751,0.930227751
6/10/2020 11:16,5ee0bb666b8e95.26427397,0,0,0,0,0,0,0.7,36,8760,0,0,0,#REF!,0,0
6/10/2020 11:18,5ee0bb666b8e95.26427397,1,0,0,488,0,0,0.7,36,8760,0,1,0,#REF!,0,0.055707763
6/10/2020 11:18,5ee0bb666b8e95.26427397,2,0,1173,0,0,0,0.7,36,7665,1,0,0,#REF!,0,0.153033268
6/10/2020 11:19,5ee0bb666b8e95.26427397,3,1500,0,0,0,1500,0.7,36,7665,0,0,0,#REF!,0.195694716,0.195694716
6/10/2020 11:19,5ee0bb666b8e95.26427397,4,1000,0,488,0,2500,0.7,36,7665,0,1,0,#REF!,0.139333984,0.194129159
6/10/2020 11:20,5ee0bb666b8e95.26427397,5,0,0,488,0,2500,0.7,36,7665,0,1,0,#REF!,0,0.063666014
